"c_alphan","b","se","n"
"AT",-0.0368476040336739,0.0165297446084861,937
"AU",-0.050241885120157,0.0188656554078944,619
"BG",0.00958817357795651,0.0205622496041925,840
"CH",-0.0153457144710247,0.011433504639775,2303
"CL",-0.00752875913733993,0.0220959881226176,680
"CZ",0.0101788654529961,0.0161038292629604,1098
"DE",0.0300401518806852,0.0178578043367276,935
"DK",-0.00528797247963616,0.0258061097014578,613
"FI",-0.0226946353585621,0.0192683414034887,703
"FR",0.0409358785723836,0.0156280817864193,1139
"GB-GBN",0.0326986500177043,0.0144655778021283,1078
"HR",0.0376931977701921,0.0205582167009501,752
"IL",0.0165464104339833,0.0160169157270718,864
"IS",-0.00795060640591883,0.0170071517187213,938
"IT",0.0242717504699853,0.022816733311471,542
"JP",0.0720126668588943,0.02441158535174,518
"LT",0.0578622185422497,0.025514911029466,544
"NO",0.00133868570736947,0.0183808816093127,905
"NZ",0.0250460561270832,0.0166737470530617,818
"PH",0.0365806760992949,0.00958360924385172,3625
"RU",0.00517895685808561,0.0123298552556089,1317
"SE",-0.00386497791263659,0.0159001354428276,1160
"SI",0.0364454016293762,0.0177219178055227,748
"SR",0.0236461489119014,0.0259790571450346,360
"TH",0.0234505176392219,0.0231044675355875,603
"TW",0.017576019937024,0.0130873940117833,1202
"US",0.0279134143036338,0.012982396145088,1398
"VE",-0.0315109480607708,0.0199117714346841,919
"ZA",-0.00158667210527665,0.0133913999315298,1469
