"class","config","low_share","high_share","bias_mean_m","bias_mean_se","attitude_mean","attitude_se","realized_seg_mean","raw_share_mean"
"high","L25/H25",0.25,0.25,97.7109085194964,0.2030373772771,-0.814348506870461,0.00789151216581148,0.97537602029201,0.985696296296296
"high","L25/H50",0.25,0.5,73.4345428870182,0.119988811697861,-0.404857957838147,0.00480917535652432,0.975763354127997,0.985888888888889
"high","L33/H33",0.333333333333333,0.333333333333333,97.5215950465418,0.164218287106028,-0.679851594371244,0.00606874930384852,0.976682642725566,0.984459259259259
"high","L50/H25",0.5,0.25,122.02850629796,0.210681683275757,-0.927475000920852,0.00698380698145648,0.974673005118557,0.985266666666667
"low","L25/H25",0.25,0.25,-97.2185672851061,0.112602865842032,1.54012208550689,0.0034152731373474,0.97537602029201,0.985696296296296
"low","L25/H50",0.25,0.5,-121.935042302908,0.125045602099054,1.63179019492237,0.00326701428982084,0.975763354127997,0.985888888888889
"low","L33/H33",0.333333333333333,0.333333333333333,-97.4084797383671,0.0885695530566768,1.39016185946838,0.00262195149751798,0.976682642725566,0.984459259259259
"low","L50/H25",0.5,0.25,-73.4367179782489,0.0577502585651016,1.12144121768846,0.00195339234230134,0.974673005118557,0.985266666666667
"mid","L25/H25",0.25,0.25,-0.288663777551899,0.0816465078995831,0.336181554352486,0.0037393478292219,0.97537602029201,0.985696296296296
"mid","L25/H50",0.25,0.5,-24.0509760237274,0.14378906910834,0.587666443986428,0.0046396573843797,0.975763354127997,0.985888888888889
"mid","L33/H33",0.333333333333333,0.333333333333333,-0.303852406676389,0.11284496385313,0.34717064897884,0.00411908211093575,0.976682642725566,0.984459259259259
"mid","L50/H25",0.5,0.25,24.2375561491348,0.138531083767285,0.0921639708963856,0.00467436119220107,0.974673005118557,0.985266666666667
