"lambda_dist","homophily","ratio_mean","ratio_se","realized_seg_mean","lambda_label"
-4,0,1.71810359021063,0.00322535590012704,0.535239733017032,"theta[D]==-4"
-4,1,1.52872629167235,0.00239794247457755,0.766200931273377,"theta[D]==-4"
-4,2,1.4110302952949,0.00172488157309991,0.898367322380301,"theta[D]==-4"
-4,3,1.3668443674138,0.00128131952651978,0.958195579345376,"theta[D]==-4"
-4,4,1.34196126050095,0.00103311295033744,0.985063649529136,"theta[D]==-4"
-4,5,1.33916023945226,0.000965640474060095,0.994275755783304,"theta[D]==-4"
-2,0,2.24449446441116,0.00481574232012806,0.321653210225529,"theta[D]==-2"
-2,1,1.86228072461644,0.0040274408325252,0.632177836067579,"theta[D]==-2"
-2,2,1.57719931094258,0.00282708921364143,0.830956279329948,"theta[D]==-2"
-2,3,1.4407513322096,0.00190227935447508,0.932043193689636,"theta[D]==-2"
-2,4,1.39180946007811,0.00137913181180699,0.973124942509143,"theta[D]==-2"
-2,5,1.3639117283854,0.00111787319377544,0.990185004679056,"theta[D]==-2"
-1,0,2.61366860770143,0.00509573569909216,0.167697946487385,"theta[D]==-1"
-1,1,2.20872444552011,0.00517268266003586,0.511451268715287,"theta[D]==-1"
-1,2,1.7678313689358,0.00389148706717928,0.763365523821256,"theta[D]==-1"
-1,3,1.54080524201019,0.00271055059732536,0.899552544386498,"theta[D]==-1"
-1,4,1.43574139049867,0.00182262509250473,0.961312125620049,"theta[D]==-1"
-1,5,1.38786372028457,0.00129124580354398,0.985366232214507,"theta[D]==-1"
0,0,2.90454974303945,0.00487407827966897,-0.00442366323990835,"theta[D]==0"
0,1,2.6494293427226,0.00572563905449512,0.340276240568431,"theta[D]==0"
0,2,2.12025181362289,0.00561736475165735,0.648451803895173,"theta[D]==0"
0,3,1.70090453860855,0.00391237989054263,0.843132707780184,"theta[D]==0"
0,4,1.50335858443567,0.00239561262753492,0.938858580392931,"theta[D]==0"
0,5,1.43377684729179,0.00171761353922419,0.976612749278022,"theta[D]==0"
